Stage,Status,Date,Team1,Image1,Team2,Image2,Score1,Score2
Matchday 14,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 14,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 14,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 15,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 15,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 15,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 15,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 15,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 15,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 16,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 16,,,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 16,,,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 16,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 16,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 16,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 17,,,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 17,,,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 17,,,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
Matchday 17,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 17,,,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 17,,,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 18,,,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 18,,,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 18,,,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 18,,,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 18,,,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
