Stage,Status,Date,Team1,Image1,Team2,Image2,Score1,Score2
Matchday 8,,2023-11-26 08:00:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 8,,2023-11-26 08:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 9,,2023-12-10 06:00:00-12:00,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,0,0
Matchday 9,,2023-12-10 07:00:00-12:00,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,0,0
Matchday 9,,2023-12-10 08:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,0,0
Matchday 9,,2023-12-10 08:00:00-12:00,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,0,0
Matchday 9,,2023-12-10 08:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 9,,2023-12-10 09:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 10,,2023-12-17 06:00:00-12:00,Manchester United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/7122612.png,Liverpool,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5452.png,0,0
Matchday 10,,2023-12-17 07:00:00-12:00,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,Manchester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27508.png,0,0
Matchday 10,,2023-12-17 08:00:00-12:00,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,0,0
Matchday 10,,2023-12-17 08:00:00-12:00,Bristol City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10335.png,Chelsea,https://images.footballaddicts.se/multiball/badges/team/thumbnail/27048.png,0,0
Matchday 10,,2023-12-17 09:00:00-12:00,Leicester City,https://images.footballaddicts.se/multiball/badges/team/thumbnail/783588866.png,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,0,0
Matchday 10,,2023-12-17 12:45:00-12:00,Aston Villa,https://images.footballaddicts.se/multiball/badges/team/thumbnail/782239135.png,Brighton & Hove Albion,https://images.footballaddicts.se/multiball/badges/team/thumbnail/10401.png,0,0
Matchday 11,,2024-01-20 08:00:00-12:00,Arsenal,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5644.png,Everton,https://images.footballaddicts.se/multiball/badges/team/thumbnail/62314.png,0,0
Matchday 11,,2024-01-20 09:00:00-12:00,West Ham United,https://images.footballaddicts.se/multiball/badges/team/thumbnail/4350.png,Tottenham Hotspur,https://images.footballaddicts.se/multiball/badges/team/thumbnail/5193.png,0,0
